key,doi,url,first_author,year,title,container,volume,pages,checks,note
field1982,10.3354/meps008037,,Field,1982,A Practical Strategy for Analysing Multispecies Distribution Patterns,Marine Ecology Progress Series,8,37-52,crossref,
elith2010,10.1111/j.2041-210X.2010.00036.x,,Elith,2010,The art of modelling range-shifting species,Methods in Ecology and Evolution,1,330-342,crossref,
elith2009,10.1146/annurev.ecolsys.110308.120159,,Elith,2009,Species Distribution Models: Ecological Explanation and Prediction Across Space and Time,"Annual Review of Ecology, Evolution, and Systematics",40,677-697,crossref,
chang2012,10.32614/CRAN.package.shiny,,Chang,2012,shiny: Web Application Framework for R,CRAN: Contributed Packages,,,crossref,
garnier2015,10.32614/CRAN.package.viridisLite,,Garnier,2015,viridisLite: Colorblind-Friendly Color Maps (Lite Version),CRAN: Contributed Packages,,,crossref,
hijmans2020,10.32614/CRAN.package.terra,,Hijmans,2020,terra: Spatial Data Analysis,CRAN: Contributed Packages,,,crossref,
pebesma2018,10.32614/RJ-2018-009,,Pebesma,2018,Simple Features for R: Standardized Support for Spatial Vector Data,The R Journal,10,439,crossref,
wickham2016,10.1007/978-3-319-24277-4,,Wickham,2016,ggplot2,Use R!,,,crossref,
toolboxdocsmarinecopernicuseu,,https://toolbox-docs.marine.copernicus.eu/,,,,,,,url,Generated from a scanned URL - fill in the fields by hand
wwwnceinoaagov,,https://www.ncei.noaa.gov/archive/accession/0187513,,,,,,,url,Generated from a scanned URL - fill in the fields by hand
helpmarinecopernicuseu,,https://help.marine.copernicus.eu/en/collections/4060068-copernicus-marine-toolbox,,,,,,,url,Generated from a scanned URL - fill in the fields by hand
araujo2007,10.1016/j.tree.2006.09.010,,Araujo,2007,Ensemble forecasting of species distributions,Trends in Ecology & Evolution,22,42-47,crossref,
marmion2009,10.1111/j.1472-4642.2008.00491.x,,Marmion,2009,Evaluation of consensus methods in predictive species distribution modelling,Diversity and Distributions,15,59-69,crossref,
elith2011,10.1111/j.1472-4642.2010.00725.x,,Elith,2011,A statistical explanation of MaxEnt for ecologists,Diversity and Distributions,17,43-57,crossref,
nadeau2003,10.1023/A:1024068626366,,Nadeau,2003,Inference for the Generalization Error,Machine Learning,52,239-281,crossref,
dietterich1998,10.1162/089976698300017197,,Dietterich,1998,Approximate Statistical Tests for Comparing Supervised Classification Learning Algorithms,Neural Computation,10,1895-1923,crossref,
